,Time,Instruction,Output Channel,Page,Channel No
160,308,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
161,310,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
162,310,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
163,312,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
164,314,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
165,316,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
166,318,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
167,320,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
168,320,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
169,320,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
170,322,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
171,324,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
172,326,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
173,328,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
174,330,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
175,330,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
176,332,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
177,334,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
178,336,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
179,338,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
180,340,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
181,340,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
182,340,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
183,342,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
184,344,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
185,346,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
186,348,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
187,350,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
188,350,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
189,352,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
190,354,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
191,356,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
192,358,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
193,360,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
194,360,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
195,360,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
196,362,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
197,364,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
198,366,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
199,368,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
200,370,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
201,370,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
202,372,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
203,374,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
204,376,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
205,378,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
206,380,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
207,380,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
208,380,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
209,382,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
210,384,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
211,386,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
212,388,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
213,390,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
214,390,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
215,392,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
216,394,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
217,396,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
218,398,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
219,400,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
220,400,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
221,400,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
222,402,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
223,404,synci,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
224,406,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
225,408,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
226,410,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
227,410,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
228,412,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
229,414,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
230,416,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
231,418,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,-1
232,420,seti,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",0,0
233,420,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,7
234,420,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
235,422,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
236,424,set,"[[0], [], [], [], [], [], [], [43691, 0, 4419295288, 1000, 20]]",3,-1
